table_name,column_name,data_type,data_explanation,business assumptions,Remarks,,
Customer,customer_id,INTEGER,Unique customer identifier,,,,
Customer,age,INTEGER,Age of customers,Assume linear relationship between age and balance (with normal noise),,,
Customer,job,FLOAT,"Occupation (categorical: ""admin."",""unknown"",""unemployed"",""management"",""housemaid"",""entrepreneur"",""student"",","Assume reasonable relationship between income and jobs, based on the average salary for each occupation.
    ""management"": (5000, 15000),
    ""entrepreneur"": (3000, 16000),
    ""admin."": (3000, 8000),
    ""technician"": (2500, 7000),
    ""blue-collar"": (2000, 6000),
    ""self-employed"": (3000, 10000),
    ""housemaid"": (1000, 4000),
    ""services"": (1800, 5500),
    ""retired"": (500, 3000),
    ""student"": (500, 2500),
    ""unemployed"": (0, 2000),
    ""unknown"": (2000, 7000)",,,
Customer,marital,FLOAT,"Marital Status (categorical: ""married"",""divorced"",""single""; note: ""divorced"" means divorced or widowed)",Assume anyone below 23 is single,,,
Customer,education,FLOAT,"education (categorical: ""unknown"",""secondary"",""primary"",""tertiary"")
","Assume anyone below 18 has only completed ""primary"" education.",,,
Customer,default,INTEGER,"has credit in default? (1:'yes', 0:'no')",Assume negative balance implies default.,,,
Customer,balance,MONEY,"average yearly balance, in euros (numeric) 
note that negative balance suggests a subset of the debt that is in default",Assume lognormal distribution,,,
Customer,debt,MONEY,"Total (credit) debt.
Includes credit debt that is in default (as indicated by a negative balance), and the total credit debt that has not yet defaulted.","Assume higher-income individuals tend to have higher debt
Assume individuals with negative balance are more likely to have higher debt
Assume older individuals may have lower debt due to financial stability",,,
Customer,income,MONEY,Monthly income,Assume lognormal distribution. Assume balance has a positive association with income,,,
Customer,tenure,INTEGER,How long customer is with the bank (in months),,,,
Customer,nps,INTEGER,Net Promoter Score (ranges from 0-10),,,,
Customer,dependents,INTEGER,Number of Dependents,,,,
Customer,customer_lifetime_value,FLOAT,Estimated lifetime value of the customer,"Assume individuals with high income are likely to have higher CLV. 
Assume individuals with negative balance may have lower CLV.
Assume older individuals may have slightly higher CLV due to longer tenure.",,,
EngagmentDetail,engagement_id,INTEGER,Unique engagement identifier,,,,
EngagmentDetail,customer_id,INTEGER,Same as customer_id from Customers table,,,,
EngagmentDetail,campaign_id,INTEGER,Same as campaign_id from Campaigns table,"each campaign id corresponds to a unique campaign type, so  tiktokxinstagram have the same range of campaign ids, and telephone/landline have the same range of campaign ids.

other than  these 2 exceptions, between different channels. there should not be overlapping campaign ids",,,
EngagmentDetail,day,INTEGER,Day of engagement attempt,assume successful engagement is more common at the start/end of the month (salary periods etc),,,
EngagmentDetail,month,VARCHAR(50),Month of engagement attempt,assume successful engagement is more common during promotional periods and salary dates (nov-jan),,,All dates should fall between 2023 to 2024
EngagmentDetail,duration,INTEGER,Duration of engagement in seconds,"assume engagement duration is longer for telephone and landline, slightly less long for website n google ads, and shorter for tiktok/instagram.
(no way to track email duration)

also, randomise some NaNs values for customers who reject cookies (cannot track engagement duration)",,,
EngagmentDetail,has_engaged,INTEGER,Whether customer has engaged,"assume telephone/landline has extremely low engagement rates, while email, tikotk, and instagram have higher

overall, number of successful engagements is roughly 20-30% of all engagement attempts",,,
EngagmentDetail,channel_used,STRING,"The channels utilized to promote the campaign, which may include email, social media platforms, YouTube, websites, or Google Ads.","follow marketing_campaign dataset, mapping youtube to tiktok. 

assume tiktok/instagram have a higher propotion, while landline/telephone have lower ","email 
instagram
tiktok
website
telephone
landline
google ads",,
DigitalUsage,customer_id,INTEGER,Unique customer identifier,Same as in customers table,,,
DigitalUsage,has_mobile_app,INTEGER,Indicator if the customer has a mobile banking app downloaded(1:Yes/0:No),Generated based on the statistic that 73% of bank account holders has the mobile app downloaded,,,
DigitalUsage,has_web_account,INTEGER,Indicator if the customer has a web banking account (1:Yes/0:No),Generated based on the statistic that 88% of bank account holders has a web account,,,
DigitalUsage,mobile_logins_wk,INTEGER,Average number of mobile app logins per week,"Assume the average customer pays using QR-based methods for every of their 3 meals daily, the average mobile logins would be 3 per week",,,
DigitalUsage,web_logins_wk,INTEGER,Average number of web logins per week,Assume for the average customer web logins are on average lesser than that of mobile logins due to the ease of convinence of mobile apps,,,
DigitalUsage,avg_mobile_time,FLOAT,Average duration (in minutes) of a mobile session,Assume for the average customer mobile sessions are used mainly for short and burst checking of balances and for payments/transfers,,,
DigitalUsage,avg_web_time,FLOAT,Average duration (in minutes) of a web session,Assume the average customer web sessions are on average longer than that of mobile sessions due to more information on the web,,,
DigitalUsage,last_mobile_use,DATETIME,Timestamp of the most recent mobile login,Assume recency of mobile app usage correlates with average mobile logins per week,,,
DigitalUsage,last_web_use,DATETIME,Timestamp of the most recent web login,Assume recency of web account usage correlates with average web account logins per week,,,
Transaction,transaction_id,INTEGER,Unique transaction identifier,Sequentially genreated from 1 to n_transactions,,,
Transaction,customer_id,INTEGER,Unique customer identifier,Same as in customers table,,,
Transaction,transaction_type,VARCHAR(50),"Type of transaction, can be either of the following: Deposit, Withdrawal, Transfer, Credit",Randomly assigned using given probabilities from past data,,,
Transaction,transaction_amt,MONEY,Transaction amount,Probability based on customer's income,,,
Transaction,transaction_date,DATETIME,Date of transaction,From 2023 to 2024 dataset,,,
Campaign,campaign_id,INTEGER,Unique campaign identifier,Sequentially generated from 1 to n_campaigns,,,
Campaign,campaign_type,STRING,The type of campaign employed,,"- Email Marketing
- Afflilate Marketing
- Display Advertising
- Search Engine Optimisation 
- Telemarketing",,
Campaign,target_audience,STRING,"The specific audience segment targeted by the campaign, such as women aged 25-34, men aged 18-24, or all age groups.",,,,
Campaign,campaign_duration,INTEGER,"The duration of the campaign, expressed in days.",,,,
Campaign,conversion_rate,FLOAT,"The percentage of leads or impressions that converted into desired actions, indicating campaign effectiveness.",,,,
Campaign,acquisiton_cost,MONEY,"The cost incurred by the company to acquire customers, presented in monetary format.",,,,
Campaign,roi,FLOAT,"Return on Investment, representing the profitability and success of the campaign.",,,,
Campaign,campaign_language,STRING,"The language used in the campaign communication, including English, Spanish, French, German, or Mandarin.",,,,
Campaign,impressions,INTEGER,Number of people who viewed the ad,,,,
Campaign,click,INTEGER,"Of the number of people who viewed the ad, how many clicked?",,,,
Loan,loan_id,INTEGER,Unique identifer of the loan,sequentially generated from 1-7290,,,
Loan,customer_id,INTEGER,Same as customer_id,Sampled from the total customer_ids and retrieved 66%,,,
Loan,loan_amount,MONEY,Amount of the loan,Sampled from the another loans dataset in kaggle,,,
Loan,past_due_date,INTEGER,Number of days past the deadline of the loan,Sampled from the another loans dataset in kaggle,,,
Loan,loan_purpose,VARCHAR(50),"Purpose of loan, can be categorised as: 'debt_consolidation', 'major_purchase', 'credit_card', 'small_business', 'house-related', 'educational', vacation', 'wedding', 'medical'",Sampled from the another loans dataset in kaggle,,,
ProductsOwned,has_investment_product ,INTEGER,,"weighted probability based on income,  balance, dti, and  average transactions (lower emphasis)",,,
ProductsOwned,has_credit_card,INTEGER,,"weighted probability bsaed on income, balance, and transaction frequency (lower emphasis)

also, ensure that if loan_pirpose = credit card, then the person has credit card",,,
ProductsOwned,has_home_loan,INTEGER,,"based on age, marriage status,

ensure that if loan_amount = 0, then this shld have 0 value
also ensure that if loan_purpose ties to any home-related category, then this shld have value 1",,,
ProductsOwned,has_personal_loan,INTEGER,,"based on  dti and past due loan

ensure that if loan_amount = 0, then this shld have 0 value
also ensure that if loan_purpose ties to any personal-related category, then this shld have value 1",,,
ProductsOwned,has_fixed_deposit,INTEGER,,"weighted probability based on balance tenure, and age (lower emphasis)",,,
ProductsOwned,has_insurance,INTEGER,,"weighted probability based on age and dependents, as well as income (lower emphasis)",,,
ProductsOwned,customer_id,INTEGER,Unique customer identifier,,,,